Judul,penulis,Dosen Pembimbing I,Dosen Pembimbing II,abstrak,label
"Pengaruh Profitabilitas, Keputusan Investasi, Keputusan Pendanaan, dan Kebijakan Dividen terhadap Nilai Perusahaan Property, Real Estate, & Building Construction yang terdaftar di Bursa Efek Indonesia Periode 2013-2017",Penulis : Dyah Dwi Purwanti,"Hj. Evaliati Amaniyah, S.E., M.S.M","Yustina Chrismardani, S.Si., M.M.","Dyah Dwi Purwanti, Pengaruh Profitabilitas, Keputusan Investasi, Keputusan Pendanaan, dan Kebijakan Dividen terhadap Nilai Perusahaan Property, Real Estate, & Building Construction yang terdaftar di Bursa Efek Indonesia Periode 2013-2017. Dibawah bimbingan Hj. Evaliati Amaniyah, S.E., M.S.M dan Yustina Chrismardani, S.Si., M.M. 

 Tujuan penelitian ini adalah untuk mengetahui pengaruh Pengaruh Profitabilitas, Keputusan Investasi, Keputusan Pendanaan, dan Kebijakan Dividen terhadap Nilai Perusahaan Property, Real Estate, & Building Construction yang terdaftar di Bursa Efek Indonesia Periode 2013-2017.

 Jenis penelitian yang digunakan dalam penelitian ini adalah metode kuantitatif. Sampel diambil menggunakan metode purposive sampling dan diperoleh data sebanyak 11 perusahaan. Teknik analisis data yang digunakan adalah analisis regresi linear berganda.

 Hasil uji t menunjukkan bahwa variabel Profitabilitas (ROE) berpengaruh signifikan terhadap Nilai Perusahaan (PBV), variabel Keputusan Investasi (TAG) berpengaruh tidak signifikan terhadap Nilai Perusahaan (PBV), variabel Keputusan Pendanaan (LTDtER) berpengaruh tidak signifikan terhadap Nilai Perusahaan (PBV), dan variabel Kebijakan Dividen (DPR) berpengaruh signifikan terhadap Nilai Perusahaan (PBV). Hasil uji F menunjukkan bahwa variabel ROE, TAG, LTDtER, dan DPR berpengaruh signifikan terhadap PBV. Nilai koefisien determinasi (adjusted R2) sebesar 0,438 menunjukkan bahwa pengaruh Profitabilitas (ROE), Keputusan Investasi (TAG), Keputusan Pendanaan (LTDtER), dan Kebijakan Dividen (DPR) terhadap Nilai Perusahaan (PBV) sebesar 43,8%, dan sisanya sebesar 56,2% dipengaruhi oleh variabel lain di luar penelitan.

Kata Kunci : Profitabilitas, Keputusan Investasi, Keputusan Pendanaan, Kebijakan Dividen, dan Nilai Perusahaan

",msdm
"Pengaruh value added capital emloye (vaca), value added human capital (vahu), structural capital value added (stva) terhadap kinerja perusahaan telekomunkasi yan terdaftar di bursa efek indonesia",Penulis : Anggraeni Wahyu Ningtyas,"Drs.Ec.Makhmud Zulkifi,Msi","Mochammad Isa Anshori,S,E.,Msi","Value added Capital Employe (VACA), Value Added Human Capital (VAHU), Structural Capital Value Added (STVA), Return On Assets (ROA).",keuangan
"Pengaruh Net Profit Margin, Current Ratio, Firm Size dan Debt To Equity Ratio Terhadap Dividend Payout Ratio Pada Perusahaan Manufaktur yang Terdaftar di Bursa Efek Indonesia pada Tahun 2013 â 2017",Penulis : Dyah Putri Aprilya,"Drs. Bambang Sudarsono, MM","Hadi Purnomo, SE., MM","Dyah Putri Aprilya, 2018 âPengaruh Net Profit Margin, Current Ratio, Firm Size dan Debt To Equity Ratio Terhadap Dividend Payout Ratio Pada Perusahaan Manufaktur yang Terdaftar di Bursa Efek Indonesia pada Tahun 2013 â 2017â. Dibawah bimbingan Bapak Drs. Bambang Sudarsono, MM dan Bapak Hadi Purnomo, SE., MM. jurusan Manajemen, Fakultas Ekonomi dan Bisnis, Universitas Trunojoyo Madura.

Penelitian ini bertujuan untuk mengetahui adanya pengaruh Net Profit Margin, Current Ratio, Firm Size dan Debt To Equity Ratio secara parsial dan simultan terhadap Dividend Payout Ratio pada Perusahaan Manufaktur yang terdaftar di Bursa Efek Indonesia pada Tahun 2013â2017. Penelitian ini menggunakan pendekatan kuantitatif dan menggunakan data sekunder dengan sumber data yang berasal dari laporan keuangan perusahaan dari Bursa Efek Indonesia pada tahun 2013-2017. Sampel dalam penelitian ini sebanyak 10 perusahaan yang sesuai dengan kriteria. Teknik pengambilan sampel menggunakan purposive sampling. Analisis data menggunakan analisis regresi linier berganda.
Berdasarkan hasil penelitian ini menunjukkan bahwa secara parsial variabel yang berpengaruh signifikan terhadap dividend payout ratio adalah current ratio dan firm size, sedangkan variabel yang tidak berpengaruh signifikan terhadap dividend payout ratio adalah net profit margin dan debt to equity ratio. Secara simultan penelitian ini berpengaruh signifikan terhadap dividend payout ratio dengan nilai signifikan sebesar 0,000. Besarnya nilai adjusted R square sebesar 0,303 yang berarti besarnya pengaruh variabel bebas terhadap variabel terikat adalah 30,3% sedangkan 69,7% sisanya dipengaruhi oleh variabel lain selain di luar penelitian.

Kata Kunci: Net Profit Margin, Current Ratio, Firm Size, Debt To Equity Ratio dan Dividend Payout Ratio
",msdm
"Pengaruh Growth Sales, Firm Size, Businesss Risk, Asset Tangibility dan Net Profit Margin Terhadap Struktur Modal Pada Perusahaan Manufaktur Sektor Barang Konsumsi Yang Terdaftar Di Bursa Efek Indonesia (BEI) Periode 2013-2017.",Penulis : Devi Ayu Wahyuni,"Dr. Chairul Anam, Drs. Ec., M. Kes.","Dr. Ir. Nurita Andriani, M.M.","Devi Ayu Wahyuni, 2019â Pengaruh Growth Sales, Firm Size, Businesss Risk, Asset Tangibility dan Net Profit Margin Terhadap Struktur Modal Pada Perusahaan Manufaktur Sektor Barang Konsumsi Yang Terdaftar Di Bursa Efek Indonesia (BEI) Periode 2013-2017â. Di bawah bimbingan Bapak Dr. Chairul Anam, Drs. Ec., M. Kes dan Ibu Dr. Ir. Nurita Andriani, M.M. Jurusan Manajemen, Fakultas Ekonomi dan Bisnis, Universitas Trunojoyo Madura.
Penelitian ini bertujuan untuk mengetahui pengaruh Growth Sales, Firm Size, Businesss Risk, Asset Tangibility dan Net Profit Margin Terhadap Struktur Modal Pada Perusahaan Manufaktur Sektor Barang Konsumsi Yang Terdaftar Di Bursa Efek Indonesia (BEI), baik secara parsial maupun simultan. Banyaknya sampel yang sesuai adalah 10 perusahaan. Penelitian ini menggunakan pendekatan kuantitatif. Penelitian ini menggunakan data sekunder dengan sumber data yang didapatkan dari laporan keuangan perusahaan di Bursa Efek Indonesia periode 2013-2017, teknik pengambilan sampelnya berdasarkan metode purposive sampling dan analisis data yang digunakan yaitu analisis regresi linear berganda dengan uji hipotesis meliputi uji t dan uji F.
Dari hasil penelitian menunjukkan bahwa secara simultan kelima variabel yaitu Growth Sales, Firm Size, Business Risk, Asset Tangibility dan Net Profit Margin berpengaruh signifikan terhadap struktur modal. Sedangkan secara parsial variabel Businesss Risk, Asset Tangibility dan Net Profit Margin berpengaruh signifikan terhadap struktur modal namun variabel Growth Sales dan Firm Size tidak berpengaruh signifikan terhadap struktur modal. Besarnya koefisien Determinasi (R2) sebesar 0,736 atau 73,6%. Hasil ini menunjukkan bahwa variabel dependen dapat dijelaskan oleh variabel independen dan sisanya 26,4% dijelaskan oleh variabel lain yang tidak termasuk dalam penelitian ini. 
Kata kunci : Struktur Modal, Growth Sales, Firm Size, Business Risk, Asset Tangibility dan Net Profit Margin.
",keuangan
"PENGARUH CURRENT RATIO (CR), DEBT TO EQUITY RATIO (DER), NET PROFIT MARGIN (NPM), DAN TOTAL ASSET TURNOVER (TATO) TERHADAP RETURN ON ASSET (ROA)
(STUDI PADA INDUSTRI BARANG KONSUMSI: SUB SEKTOR MAKANAN DAN MINUMAN YANG TERDAFTAR DI BEI PERIODE 2013-2017)",Penulis : CHIKA ADELIA PUTRI S,"Drs. Ec. H. Makhmud Zulkifli, Msi","Triana Setiyarini, SE., MM.","Chika Adelia Putri S, Pengaruh Current Ratio, Debt to Equity Ratio, Net Profit Margin dan Total Asset Turnover Terhadap Retun On Asset pada Industri Barang Konsumsi: Sub Sektor Makanan dan Minuman yang Terdaftar di Bursa Efek Indonesia (BEI) tahun 2013-2017. Dibawah bimbingan Drs. Ec. H. Makhmud Zulkifli, Msi dan Triana Setiyarini, SE., MM.
       Tujuan penelitian ini adalah untuk mengetahui pengaruh Current Ratio, Debt to Equity Ratio, Net Profit Margin dan Total Asset Turnover baik secara parsial maupun secara simultan Terhadap Retun On Asset pada Industri Barang Konsumsi: Sub Sektor Makanan dan Minuman yang Terdaftar di Bursa Efek Indonesia (BEI) tahun 2013-2017.
       Pendekatan penelitian yang digunakan dalam penelitian ini adalah kuantitatif. Pengambilan sampel menggunakan metode purposive sampling dan diperoleh sampel sebanyak 10 perusahaan. Teknik analisis data yang digunakan adalah analisis data regresi linier berganda, untuk melihat berapa banyak kontribusi masing-masing variabel independen dalam pengujian hipotesis menggunakan uji t dan uji F dengan tingkat kepercayaan 95%.
       Hasil dari penelitian  pada Industri Barang Konsumsi: Sub Sektor Makanan dan Minuman yang Terdaftar di Bursa Efek Indonesia (BEI) tahun 2013-2017 yaitu dengan hasil uji t menunjukkan bahwa variabel Current Ratio berpengaruh negative dan signifikan terhadap Retun On Asset dengan hasil t hitung sebesar -2,111 dan nilai signifikansi sebesar 0,040, variabel Debt to Equity Ratio berpengaruh negative dan tidak signifikan terhadap Retun On Asset dengan hasil t hitung sebesar -1,184 dan nilai signifikansi sebesar 0,242, variabel Net Profit Margin berpengaruh positif dan signifikan terhadap Retun On Asset dengan hasil t hitung sebesar 11,858 dan nilai signifikansi sebesar 0,000 dan variabel Total Asset Turnover berpengaruh positif dan signifikan terhadap Retun On Asset dengan hasil t hitung sebesar 3,726 dan nilai signifikansi sebesar 0,001. Hasil uji F menunjukkan bahwa variabel Current Ratio, Debt to Equity Ratio, Net Profit Margin dan Total Asset Turnover berpengaruh signifikan terhadap Retun On Asset.

Kata kunci: Current Ratio, Debt to Equity Ratio, Net Profit Margin, Total Asset Turnover dan Retun On Asset",pemasaran
"Pengaruh Modal Sendiri, Modal Pinjaman Dan Volume Usaha Terhadap Sisa Hasil Usaha (SHU) Pada Koperasi Pegawai Republik Indonesia (KPRI) Di Kabupaten Pamekasan Tahun 2013 - 2017. ",Penulis : SHINTA NUR FAIQAH WAHYUNI,"Prasetyo Nugroho, S.Pi, M.M.","Yudhi Prasetya Mada, S.E., M.M.","Tujuan utama dari semua koperasi adalah meningkatkan Sisa Hasil Usaha (SHU). Sisa Hasil Usaha (SHU) adalah keuntungan atau laba yang didapat dalam suatu koperasi pada satu tahun buku. Penelitian ini bertujuan untuk mengetahui bagaimana pengaruh modal sendiri, modal pinjaman dan volume usaha terhadap Sisa Hasil Usaha Koperasi. Koperasi yang menjadi objek penelitian adalah Koperasi Pegawai Republik Indonesia yang terdaftar di Dinas Koperasi dan UMKM Kabupaten Pamekasan tahun 2013 - 2017. Penelitian ini merupakan penelitian kuantitatif. Populasi dalam penelitian ini adalah 54 Koperasi Pegawai Republik Indonesia yang terdaftar di Dinas Koperasi dan UMKM Kabupaten Pamekasan. Metode sampel yang digunakan adalah metode Purposive Sampling. dengan menggunakan metode tersebut diperoleh 10 Koperasi. Teknik analisis yang digunakan meliputi uji asumsi klasik, uji parsial, analisis linear berganda dan analisis koefisien determinasi. Temuan penelitian pengaruh secara parsial diuji dengan uji t dengan hasil : Secara parsial modal sendiri memiliki pengaruh yang signifikan terhadap sisa hasil usaha. Variabel modal pinjaman tidak berpengaruh secara signifikan terhadap sisa hasil usaha. Sedangkan volume usaha tidak berpengaruh secara signifikan terhadap sisa hasil usaha. Secara simultan varaibel modal sendiri, modal pinjaman dan volume usaha berpengaruh signifikan terhadap sisa hasil usaha. 

Kata Kunci : Modal Sendiri, Modal Pinjaman, Volume Usaha dan Sisa Hasil Usaha.
",msdm
"Pengaruh Leverage, Return On Asset Dan Biaya Modal Ekuitas Terhadap Manajemen Laba Pada Perusahaan Property Dan Real Estate Yang Terdafar Di Bursa Efek Indonesia Tahun 2013-2017",Penulis : AYU WULAN CAHYA,"Echsan Gani, SE., M.Si.","Yudhi Prasetya Mada, S.E., M.M.","Tujuan dari penelitian ini adalah untuk menemukan bukti empiris tentang pengaruh leverage, ROA dan biaya modal ekuitas terhadap manajemen laba. Informasi dan data dalam penelitian ini merupakan data sekunder. Data sekunder yang dumaksud merupakan data yang diperoleh dari laporan tahunan (annual report) perusahaan property dan real estate yang terdaftar di Bursa Efek Indonesia (BEI) selama periode 2013-2017.
 Pendekatan yang dilakukan dalam penelitian ini adalah pendekatan kuantitatif dan metode pemilihan sampel dalam penelitian ini adalah purposive sampling, yaitu metode pemilihan sampel dengan menggunakan beberapa kriteria tertentu yang telah ditetapkan. Hipotesis penelitian diuji dengan menggunakan analisis regresi linier berganda.
Berdasarkan hasil pengujian, ditemukan bahwa leverage dan ROA berpengaruh positif akan tetapi tidak signifikan terhadap manajemen laba. Sedangkan untuk biaya modal ekuitas berpengaruh negatif dan tidak signifikan terhadap manajemen laba. Hasil penelitian ini bisa memberikan informasi untuk lebih berhati-hati dalam menilai perusahaan yang mempunyai nilai leverage dan ROA yang tinggi. Dalam hal apapun investor dan pihak luar maupun masyarakat harus lebih teliti dalam menginvestasikan modalnya agar saling menguntungkan. 

Kata Kunci : Leverage, ROA, Biaya Modal Ekuitas, Manajemen Laba, Dan Perusahaan Property & Real Estate.
",msdm
"PengaruhInformasiLaba, Struktur Modal Dan PertumbuhanLabaTerhadapKoefisienResponLabaPada Perusahaan jasa sub-sektorPropertidanReal Estate  Yang Terdaftar Di  Bursa Efek Indonesia (BEI) periode 2013-2017",Penulis : HANIF ZAINURI,"EchsanGani, S.E.,M.Si","HadiPurnomo, S.E.,MM","HanifZainuri  2018, PengaruhInformasiLaba, Struktur Modal Dan PertumbuhanLabaTerhadapKoefisienResponLabaPada Perusahaan jasa sub-sektorPropertidanReal Estate  Yang Terdaftar Di  Bursa Efek Indonesia (BEI) periode 2013-2017. DibawahbimbinganEchsanGani, S.E.,M.SidanHadiPurnomo, S.E.,MM.
PenelitianinibertujuanuntukmengetahuipengaruhvariabelInformasiLaba, Struktur  Modal danPertumbuhanLababaiksecaraparsialmaupunsimultanterhadapKoefisienResponLabaPada Perusahaan jasa sub-sektorPropertidanReal Estate  Yang Terdaftar Di  Bursa Efek Indonesia (BEI).
Penelitianinidilakukansecaradeskriptifkuantitatifdenganmenggunakan data sekunder yang diperolehdari Bursa Efek Indonesia (BEI).Metodepengambilansampel yang digunakanadalah purposive sampling dandiperolehsampelsebanyak 11 perusahaandari 48 perusahaan.Untukpengujian instrument menggunakanujiasumsiklasik, sedangkanteknikanalisis data yang digunakanuntukmengetahuihipotesisadalahmenggunakanregresi linier bergandadenganmemakaiuji t danuji F.
Hasiluji F diketahuibahwainformasilaba, struktur modal danpertumbuhanlabasecarasimultanberpengaruhtidaksignifikanterhadapKoefisienResponLabaPada Perusahaan jasa sub-sektorPropertidanReal Estate  YangTerdaftar Di  Bursa Efek Indonesia (BEI)  yang berartihipotesis di tolakdanuji t diketahuibahwaInformasiLaba, Struktur Modal danPertumbuhanLabasecaraparsialberpengaruhtidaksignifikanterhadapKoefisienResponLaba. Hal inimenunjukkanbahwa 3 variabelbebasterdapatfaktor-faktor lain yang mempengaruhiKoefisienResponLabasepertiKebijakanperusahaanbaiksecaraInternalmaupunEksternaldankondisipasar.
Kata Kunci: InformasiLaba, Struktur  Modal, PertumbuhanLabadanKoefisienResponLaba

",msdm
PENGARUH CITRA TOKO BESI ADI JAYA TERHADAP KEPUTUSAN PEMBELIAN DI BANGKALAN,Penulis : ARDDY FIRMANSYAH,"Nirma Kurriwati, S.P.,M.Si","Yudhi Prasetya Mada,SE.,M.M.","Efektifitas Pelaksanaan Standar ST Penelitian ini bertujuan untuk mengetahui bagaimana pengaruh citra toko besi ""Jaya Jaya"" lebih unggul terhadap keputusan pembelian. Pendekatan penelitian adalah dengan pendekatan kuantitatif melalui metode penelitian eksplanatori dengan menggunakan data cross sectional atau data yang dikumpulkan dari hasil penelitian di lapangan. Sedangkan sumber data yang digunakan menggunakan tipe data primer dan data sekunder. Variabel independen yang digunakan dalam penelitian ini adalah lokasi toko, barang dagangan, harga, layanan pelanggan, dan fasilitas fisik. Selain itu, penelitian ini menggunakan variabel dependen yaitu keputusan pembelian di kota Bangkalan.
Berdasarkan hasil penelitian, lokasi toko, barang dagangan, harga, layanan pelanggan, dan fasilitas fisik memiliki hasil pada keputusan pembelian. Lokasi toko yang memiliki pengaruh positif baik secara parsial maupun simultan. Barang dagangan yang memiliki pengaruh positif baik secara parsial maupun simultan. Harga yang memiliki pengaruh positif baik secara parsial maupun simultan. Layanan pelanggan yang memiliki pengaruh positif baik secara parsial maupun simultan. Fasilitas fisik yang memiliki pengaruh positif baik secara parsial maupun simultan. Sedangkan untuk pengaruh harga dominan terhadap keputusan pembelian dengan nilai beta (?) tertinggi sebesar 0,361.
Kata kunci: Lokasi Toko, Barang Dagangan, Harga, Layanan Pelanggan, Fasilitas Fisik dan Keputusan Pembelian
arana dan Prasarana
Sekolah Alam Excellentia (SAE) Pamekasan Desa Lawangan Daya Kecamatan
Pademawu Kabupaten Pamekasan",keuangan
"Pengaruh Perputaran Kas, Piutang, Persediaan, dan Likuiditas terhadap Rentabilitas pada Koperasi KPRI di Kabupaten Sampang Tahun 2013-2017",Penulis : Noviana Ardilla,"R. Gatot Heru Pranjoto, S.E., MM","Nirma Kurriwati, S.P., M.Si.","Abstrak
Penelitian ini bertujuan untuk menganalisis pengaruh perputaran kas, piutang, persediaan, dan likuiditas terhadap rentabilitas secara parsial pada KPRI di Kabupaten Sampang. Subjek pada penelitian ini merupakan KPRI yang berada di Kabupaten Sampang. Objek yang digunakan yaitu perputaran kas, piutang, persediaan, likuiditas, dan rentabilitas. Pendekatan kuantitatif digunakan dalam penelitian ini, dan analisis data yang digunakan merupakan analisis regresi linier berganda. Teknik pengambilan sampel menggunakan metode purposive sampling berdasarkan kriteria. Hasil penelitian ini menunjukkan bahwa perputaran kas tidak berpengaruh terhadap rentabilitas; variabel perputaran piutang berpengaruh signifikan terhadap rentabilitas; variabel perputaran persediaan berpengaruh signifikan terhadap rentabilitas; dan variabel likuiditas berpengaruh signifikan terhadap rentabilitas.
Kata Kunci: perputaran kas, piutang, persediaan, likuiditas
",pemasaran
ORIENTASI KEPEMIMPINAN BIROKRASI DAN KOMUNIKASI TERHADAP KEPUASAN KERJA (STUDI PADA PEGAWAI PUSKESMAS AROSBAYA),Penulis : Robiatul Adawiyah,"Dr. Hj. Iriani Ismail, Dra. M.M","Faidal, S.E.,M.M","ABSTRAK
Robiatul Adawiyah  (2018) 0rientasi Kepemimpinan Birokrasi dan Komunikasi Terhadap Kepuasan Kerja Pegawai pada Puskesmas Arosbaya. Dibawah bimbingan Dr. Hj. Iriani Ismail, Dra., MM dan Faidal, SE, MM.

Tujuan dalam penelitian ini adalah untuk mengidentifikasi variabel kepemimpinan birokrasi dan komunikasi memepengaruhi kepuasan kerja pada  Puskesmas Arosbaya baik secara parsial, simultan, dan variabel yang dominan. Peneliti ini menggunakan menggunakan metode kuantitatif. Sampel dalam penelitian ini adalah 87 pegawai yang menggunakan tehnikstratified-clustersampling.Berdasarkan uji statistik, ditemukan bahwa kepemimpinan birokrasi berpengaruh positif dan signifikan terhadap kepuasan kerja pegawai, hal ini dapat dilihat dengan nilai koefisien regresi (B) sebesar 0.150 dan memiliki nilai signifikan sebesar 0.000 yang lebih kecil dari ? = 0.05 sedangkan hasil thitung = 0.192 < ttabel = 1.66298 .selanjutnya ditemukan bahwa komunikasi berpengaruh positif dan signifikan terhadap kepuasan kerja, hal ini dapat dilihat dengan nilai koefisien regresi (B)sebesar 0.737 dan memiliki nilai signifikan sebesar 0.000 yang lebih kecil dari ? = 0.05. sedangkan hasil thitung = 0.832< ttabel = 1.66298. kemudian ditemukan secara bersama-sama atau simultan kepemimpinan birokrasi dan komunikasi berpengaruh positif dan signifikan terhadap kepuasan kerja pegawai, hal ini dapat dilihat dari Fhitung = 92.242>Ftabel = 3.11 dengan tingkat signifikannya 0.000 < 0.05. sedangakan untuk variabel yang paling dominan terhadap kepuasan kerja dari pada kepemimpinan birokrasi. Hal ini dapat dilihat dari nilai koefisien beta komunikasi sebesar  0.737 > dari pada koefisien betakepemimpinan birokrasi sebesar 0.150.


Kata kunci: Kepemimpinan Birokrasi, Komunikasi, Kepuasan Kerja
",pemasaran
PENGARUH KEPUASAN KERJA DAN PENGEMBANGAN KARIR TERHADAP KOMITMEN PEGAWAI DINAS PENDIDIKAN KABUPATEN SUMENEP,Penulis : Mike Ardita,"Drs. Ec. Mudji Kuswinarno, Msi","Faidal, SE, MM","ABSTRAK
Mike Ardita, 140211100193. Pengaruh Kepuasan Kerja dan Pengembangan Karir Terhadap Komitmen Pegawai Dinas Pendidikan Kabupaten Sumenep bimbingan Bapak Drs. Ec. Mudji Kuswinarno, Msi. dan Faidal , SE, MM
Penelitian ini bertujuan untuk mengetahui pengaruh kepuasan kerja dan pengembangan karir terhadap komitmen pegawai Dinas Pendidikan Kabupaten Sumenep, baik secara simultan maupun secara parsial. Variabel bebas dalam penelitian ini adalah variabel kepuasan kerja dan pengembangan karir, sedangkan variabel terikat dalam penelitian ini adalah komitmen pegawai. 
Metode yang digunakan dalam penelitian ini adalah dengan pendekatan kuantitatif deskriptif. Tehnik pengumpulan data yang dipilih adalah dengan observasi langsung dan penyebaran kuesioner kepada sejumlah responden. Tehnik pengambilan sampel adalah menggunakan tehnik disproportionate stratified random sampling dan dianalisis menggunakan analisis regresi linier berganda. Sampel dalam penelitian ini adalah 75 pegawai yang ada di Dinas Pendidikan Kabupaten Sumenep.
 Hasil penelitian menunjukkan bahwa variabel kepuasan kerja berpengaruh positif dan signifikan secara simultan terhadap komitmen pegawai, variabel pengembangan karir berpengaruh positif dan signifikan secara simultan terhadap komitmen pegawai, dari hasil analisis menunjukkan bahwa kepuasan kerja dan pengembangan karir secara parsial mempengaruhi komitmen pegawai Dinas Pendidikan Kabupaten Sumenep, dan diantara variabel kepuasan kerja dan variabel pengembangan karir yang paling berpengaruh terhadap komitmen pegawai Dinas Pendidikan Kabupeten Sumenep adalah variabel kepuasan kerja.
Kata Kunci : Kepuasan kerja, pengembangan karir, komitmen pegawai",keuangan
"PENGARUH KEPERCAYAAN KEPADA PEMIMPIN, PROMOSI JABATAN DAN KEPUASAN KERJA TERHADAP KOMITMEN PEGAWAI (STUDI KASUS PADA PEGAWAI DINAS KEPENDUDUKAN DAN PENCATATAN SIPIL KABUPATEN BANGKALAN)",Penulis : Sholichul Amin,"Dr. RM. Moch Wispandono, SE., Ms","Dr. Muhammad Alkirom Wildan, SE., Msi","ABSTRAK
Sholichul Amin, 140211100149. Pengaruh Kepercayaan Kepada Pemimpin, Promosi Jabatan dan Kepuasan Kerja Terhadap Komitmen Pegawai (Studi Kasus Pada Pegawai Dinas Kependudukan dan Pencatatan Sipil Kabupaten Bangkalan) bimbingan Bapak Dr. RM. Moch. Wispandono, SE., MS dan Dr. Muh. Alkirom W, SE., Msi
Penelitian ini bertujuan untuk mengetahui pengaruh kepercayaan kepada pemimpin, promosi jabatan dan kepuasan kerja terhadap komitmen pegawai Dinas Kependudukan dan Pencatatan Sipil Kabupaten Bangkalan, baik secara simultan maupun secara parsial. Variabel bebas dalam penelitian ini adalah variabel, kepercayaan kepada pemimpin, promosi jabatan dan, sedangkan variabel terikat dalam penelitian ini adalah komitmen pegawai. 
Metode yang digunakan dalam penelitian ini adalah dengan pendekatan kuantitatif deskriptif. Tehnik pengumpulan data yang dipilih adalah dengan observasi langsung dan penyebaran kuesioner kepada sejumlah responden. Tehnik pengambilan sampel yang dipilih adalah metode sensus atau sampling jenuh yaitu metode yang mengambil semua populasi untuk dijadikan responden dalam penelitian dan dianalisis menggunakan analisis regresi linier berganda. Sampel dalam penelitian ini adalah semua pegawai yang ada di Dinas Kependudukan dan Pencatatan Sipil Kabupaten Bangkalan.
 Hasil penelitian menunjukkan bahwa variabel kepercayaan kepada pemimpin berpengaruh positif dan signifikan secara simultan terhadap komitmen pegawai, variabel pengembangan karir berpengaruh positif dan signifikan secara simultan terhadap komitmen pegawai, variabel kepuasan kerja berpengaruh positif dan signifikan secara simultan terhadap komitmen pegawai, dari hasil analisis menunjukkan bahwa kepercayaan kepada pemimpin, promosi jabatan dan kepuasan kerja secara parsial mempengaruhi komitmen pegawai Dinas Kependudukan dan Pencatatan Sipil Kabupaten Bangkalan, dan diantara variabel kepercayaan kepada pemimpin, promosi jabatan dan kepuasan kerja yang paling berpengaruh terhadap komitmen pegawai Dinas Kependudukan dan Pencatatan Sipil Kabupaten Bangkalan adalah variabel kepercayaan kepada pemimpin.
Kata Kunci : Kepercayaan kepada pemimpin, promosi jabatan, kepuasan 
  Kerja, komitmen pegawai",pemasaran
